Temperature,avg_soh
9.902439221,53.05108504
10.29805683,56.02431499
10.39324758,67.20179477
10.51872311,83.61197373
10.63868893,68.84236804
10.7572869,85.93069342
11.48383854,63.08135703
11.8212613,35.85560084
11.97893072,46.18726907
12.04478854,74.78228322
12.18833171,49.37498545
12.23039433,73.7516211
12.34856239,56.48447531
12.35219961,31.72092761
12.50297143,81.12235994
12.80591421,52.1707176
12.8787987,67.73497056
12.88060337,85.90791004
13.18533782,66.69130494
13.51909523,54.12168081
13.76555333,35.60480133
13.90349814,39.03139402
13.94069044,47.56661475
13.97216971,35.29286016
14.00597022,87.22019215
14.13665227,63.55692732
14.23304943,81.5364494
14.2332854,44.72775584
14.23554704,77.51966267
14.24092299,61.73804048
14.32162893,58.62951812
14.3907255,64.08957966
14.49986746,31.78362864
14.79132566,87.12125011
14.98068818,54.54922067
15.00899658,85.49505211
15.03132179,76.48891881
15.10350095,57.33005846
15.12266717,74.32944395
15.14948091,48.21798901
15.16821705,73.83451516
15.18687154,31.56911434
15.40163422,38.03123074
15.53192667,55.22404917
15.55229635,87.68502146
15.59075477,60.56237128
15.60037807,35.49407079
15.61723647,35.75347216
15.62413765,59.56925088
15.66730024,47.34010058
15.66731691,69.80882973
15.76906069,41.42323303
15.81897313,75.64971391
15.84683552,61.17381398
15.98430162,61.11438076
15.99009781,75.47291546
15.99471133,56.58853616
16.10706208,47.85515183
16.11882384,43.78323852
16.13483766,56.30036447
16.15462048,53.15436779
16.15780317,68.70777763
16.19595594,71.26860482
16.1961862,70.19998483
16.25734013,58.93478665
16.30143111,82.82421471
16.37096636,44.9505937
16.46321021,42.06168401
16.53521593,79.73487195
16.58280904,58.64904972
16.65707963,84.0857866
16.68754006,58.08449154
16.69519533,95.75502453
16.77300627,79.62562464
16.78405594,49.10724862
16.91844696,63.58311363
16.92434092,68.29748488
16.93219301,72.94513648
16.96169486,48.98604146
16.96220068,52.02378777
16.9671145,41.46376957
16.99017094,63.11958744
16.99548011,51.16283546
17.00937824,47.09347533
17.02648466,69.87046383
17.03503133,79.65480517
17.07008344,37.9670073
17.07932028,60.52435524
17.08048588,87.25232515
17.09404649,59.73794406
17.11803922,83.91243888
17.14561924,57.3031731
17.14749698,81.19409435
17.17598614,34.56134689
17.17879194,44.68074175
17.18404596,66.83589923
17.18727072,67.86202151
17.21709051,85.20904544
17.22052177,76.91594352
17.23120617,50.00409017
17.25690851,30.51397985
17.32213938,33.36019206
17.34446249,41.47753874
17.37171843,69.47638373
17.37237415,87.87576343
17.38406548,89.27883517
17.38820407,42.34505295
17.41063127,43.41301968
17.42127943,93.2989245
17.43142804,58.81950228
17.47639813,61.06741148
17.48459849,44.67100372
17.48514836,55.6955145
17.51735372,43.08672784
17.57219813,95.71310802
17.57551016,75.07247454
17.60544216,74.45157157
17.66237367,52.54340603
17.6781256,85.63955242
17.7122425,61.94842533
17.74412155,46.47532737
17.7517739,41.0291042
17.75704293,36.46793213
17.7599305,90.96352633
17.78072592,51.61799107
17.79974559,80.77033573
17.80861011,65.98412535
17.84612449,88.63191607
17.88021424,49.49763105
17.89094667,70.90937273
17.90817134,69.99125048
17.93142752,77.42483034
17.96841268,60.35516974
17.9721649,33.22817938
17.98697364,79.69633495
18.00346913,32.62997843
18.05213767,81.09696582
18.09477698,40.04807986
18.10190918,54.20855788
18.10340386,91.80536469
18.1119125,37.56295002
18.14049429,73.95432583
18.1509851,78.31810539
18.16431097,33.77062513
18.16560651,75.96122222
18.17022144,41.99920825
18.18412998,48.73499472
18.2007193,90.24847111
18.21709098,66.98002347
18.23664857,42.50603193
18.24462817,37.72778407
18.26436855,72.02672373
18.2701016,62.63807276
18.27064538,51.31881561
18.27774744,93.56538117
18.306971,40.2028103
18.32327821,99.41583684
18.32987253,78.99625756
18.34383523,76.85398498
18.34843187,47.25153514
18.36763936,40.82737993
18.36976157,43.0445017
18.38455103,80.51726473
18.38771022,38.53263122
18.39988744,61.81428764
18.40376403,36.84808495
18.43890403,33.12599964
18.44081884,75.84324354
18.455898,54.27355602
18.50209382,41.66948162
18.51584026,72.68529063
18.52659262,83.44456288
18.53363521,46.29393484
18.53868652,41.39608135
18.58503888,83.96075694
18.59847801,88.56580017
18.61625712,94.80698941
18.69917617,49.07657911
18.70747545,39.57056397
18.71211071,49.02339648
18.71746553,38.67164114
18.72855288,66.2887953
18.73803278,46.53926137
18.74230288,87.58559162
18.74796133,48.65051206
18.77141312,37.54414822
18.78068382,78.73227932
18.80370803,53.98624756
18.80446462,50.52912061
18.81168789,41.11293614
18.82825564,58.2079884
18.83738343,34.96158558
18.85225203,54.50155096
18.86196092,83.68493525
18.87117168,84.85539341
18.87850882,70.8900623
18.88029867,78.0387228
18.89643787,51.93969422
18.94414035,46.53038398
18.95152629,76.26898635
18.95179491,77.74659362
19.02058469,70.24534107
19.03037497,58.74471953
19.03181584,58.77862506
19.0516667,35.74505172
19.05294054,50.47697715
19.0620079,80.36322341
19.09593592,50.25079703
19.10480104,63.50365829
19.12202697,35.12536521
19.14943487,76.62446511
19.15041582,68.79088784
19.20817655,86.09434998
19.24492958,31.90841981
19.25602982,45.59587841
19.25868356,43.04425982
19.26827303,81.60979737
19.28136896,58.72807289
19.28497544,81.81945283
19.29155443,70.9868441
19.30583441,50.1769344
19.31157165,34.60932576
19.34555782,39.15539673
19.34692333,30.40676035
19.36616266,58.0307138
19.38638989,92.75387178
19.38727597,41.16311904
19.40165053,85.7229986
19.40191283,69.91844593
19.4173778,42.94202479
19.44016487,37.50103125
19.44271022,50.12514029
19.47147666,56.73876031
19.48205341,81.31231749
19.48316697,75.97173249
19.48395817,72.17445389
19.49922884,43.595871
19.51862457,79.9115845
19.53843618,76.4913638
19.5403305,33.08046923
19.54149562,43.88112407
19.54516785,59.09168648
19.54800461,58.96349185
19.55183481,35.90285796
19.56377031,44.64862583
19.57087436,43.86228491
19.57424737,39.56813544
19.5947173,96.37832308
19.63628487,57.86166331
19.63930494,67.9099351
19.64071383,51.44381088
19.6447316,44.7629777
19.64957617,89.46838202
19.66098539,63.00830492
19.66233543,66.01095262
19.67443168,74.34722292
19.68803236,62.98935733
19.70546206,32.10564573
19.7315879,62.6145607
19.73292218,81.15228374
19.76544509,72.07872883
19.77595403,71.64140768
19.80047036,80.20241376
19.83738048,36.11632792
19.85314246,43.08830825
19.8616243,58.83766624
19.8674235,89.95341144
19.87906588,69.92028082
19.88603717,85.38495665
19.89383591,86.73544922
19.90167831,39.864564
19.91658436,33.29097243
19.92089091,66.68069756
19.92452904,48.8032186
19.92621635,79.26661373
19.93052024,37.54411367
19.95134648,67.50972422
19.95722658,32.19574985
19.96728717,65.22894883
19.97929617,91.26146115
19.98021314,42.21451951
19.98906272,50.94095764
19.99189995,85.66304277
19.99834338,63.3850998
20.00348884,65.27888071
20.0080728,68.12731465
20.0082298,92.78146658
20.00969686,43.95589307
20.02092303,35.94697518
20.02825313,49.95404692
20.04303825,81.45767371
20.05185932,80.15778676
20.05704446,78.68250712
20.06410236,61.22715606
20.08756303,79.93939993
20.09417234,46.80537798
20.12735348,64.05727349
20.132269,54.99749463
20.1346553,74.33885869
20.14171633,54.04729279
20.14192981,72.20600422
20.15827773,79.67731417
20.16511928,87.48657258
20.18120537,41.66694965
20.20280382,69.00940674
20.21424543,42.05615724
20.21781812,48.896535
20.2243871,64.65452286
20.2303029,46.58570325
20.23335696,67.06645992
20.25825998,33.69139754
20.30048449,52.73085346
20.30332303,77.53826693
20.32280649,61.34388888
20.3336602,74.32243197
20.3524457,42.33818189
20.36323433,63.2814525
20.36809435,39.30778606
20.37287687,35.34392036
20.37883428,41.97716566
20.38794908,66.21109479
20.39070093,41.51129357
20.39663203,77.91512494
20.40307704,57.02156848
20.40656744,37.02601788
20.40674027,91.46099825
20.41248589,41.98982566
20.41904042,39.04859339
20.4612191,33.67479091
20.4713385,57.47043872
20.48046179,78.98119693
20.4814907,64.22378451
20.48974223,51.39551818
20.49689633,50.03534044
20.50607976,47.10590989
20.50766009,75.61548751
20.52326839,36.43905782
20.52465079,33.18490046
20.52696349,96.35667963
20.54403887,60.54730584
20.56253911,68.49404251
20.57598643,74.67066006
20.59062674,54.04324227
20.60092823,31.89629492
20.61008707,68.06655721
20.65168459,51.00453054
20.65853634,37.94143346
20.66434892,53.37017025
20.66912576,58.59917197
