Cycle,avg_soh
1,100
2,99.41583684
3,97.69509735
4,97.62356247
5,98.01817913
6,98.14941776
7,97.30520643
8,97.92582556
9,96.36009041
10,95.75502453
11,96.31164206
12,96.37875183
13,94.93746519
14,94.80698941
15,96.37832308
16,95.30786451
17,95.56328496
18,95.13592949
19,97.01138033
20,96.61906275
21,93.9018364
22,94.76334982
23,95.932409
24,95.66775588
25,94.99420159
26,93.73388982
27,94.11052976
28,94.23809712
29,94.84464377
30,96.35667963
31,93.84649987
32,93.38476158
33,94.15907686
34,95.30206589
35,92.66688124
36,95.71310802
37,93.86970589
38,93.16704852
39,92.30213161
40,94.43526469
41,93.73639727
42,93.79103281
43,92.52500393
44,93.29092775
45,93.08778443
46,93.30329926
47,92.69046964
48,91.93482469
49,96.09282313
50,91.96838849
51,93.56538117
52,91.46099825
53,91.26146115
54,93.20380297
55,93.22127709
56,94.24001967
57,93.17469577
58,92.78146658
59,91.8267656
60,94.33290139
61,93.58164274
62,91.39937748
63,92.75387178
64,92.65731256
65,92.15257085
66,93.16442394
67,93.25738269
68,91.92091997
69,92.11798473
70,93.79505349
71,93.26781528
72,92.28797659
73,90.60454035
74,92.33344462
75,92.62594448
76,89.33064831
77,92.2197943
78,91.45509748
79,91.61053864
80,90.75273366
81,91.56858423
82,93.2989245
83,91.07372218
84,92.35181061
85,90.83993701
86,92.37936293
87,91.43940577
88,91.69680011
89,91.28219996
90,91.83008983
91,88.72057073
92,89.95408232
93,91.80536469
94,89.13760602
95,90.63066865
96,90.87847019
97,90.331784
98,90.22036454
99,91.17601868
100,91.77494957
101,89.61194964
102,90.34801882
103,90.09902116
104,88.22901892
105,90.8244841
106,91.39980274
107,91.50057701
108,89.79746659
109,89.24181575
110,90.43399698
111,91.2240977
112,90.43875827
113,90.54173642
114,91.3427765
115,89.35499115
116,89.99712274
117,91.84216895
118,89.94685943
119,88.70430642
120,89.40331724
121,89.0096213
122,90.39616321
123,88.9957399
124,90.09571045
125,89.17790046
126,87.73855606
127,90.24847111
128,89.81394088
129,90.13747099
130,88.71054654
131,88.87120113
132,89.96087766
133,91.10320761
134,89.42506774
135,89.88861357
136,89.08231854
137,87.72767028
138,90.34313551
139,90.32835031
140,89.96368431
141,88.97544751
142,89.95341144
143,89.99375344
144,90.85630601
145,89.92160611
146,89.27883517
147,87.78754825
148,89.08804917
149,88.96808324
150,89.60632467
151,90.20764676
152,88.57013467
153,90.96352633
154,87.22019215
155,89.03040989
156,87.88509015
157,86.73544922
158,88.31091124
159,87.11189412
160,88.45728174
161,88.56580017
162,89.4415189
163,86.76199553
164,89.29608903
165,88.23659536
166,89.46838202
167,87.87576343
168,86.89814454
169,86.87069566
170,86.82993545
171,88.55844868
172,89.45054557
173,87.58559162
174,88.39302514
175,86.34068552
176,87.89639653
177,88.44655162
178,86.35033176
179,87.54531998
180,88.33777646
181,84.77430041
182,88.83180783
183,87.92759864
184,88.2148018
185,87.073024
186,85.67471604
187,88.1019223
188,87.23971157
189,87.44700616
190,88.63191607
191,88.10126457
192,89.23084193
193,87.25935361
194,86.63931266
195,87.05671867
196,87.68502146
197,88.23485347
198,85.90791004
199,87.25232515
200,88.51747283
201,86.69536605
202,87.74348388
203,87.48657258
204,87.81273567
205,86.04453084
206,86.09434998
207,86.58886424
208,85.04927505
209,86.38490576
210,86.87288493
211,88.30130379
212,87.12125011
213,87.13719678
214,87.78900814
215,85.66304277
216,86.32365389
217,88.60256052
218,86.21553817
219,87.49761862
220,87.12225626
221,84.56014174
222,86.35825247
223,86.33442945
224,86.49586091
225,85.30435311
226,84.94836521
227,85.50421791
228,85.84905646
229,87.04148807
230,87.73643713
231,87.20143723
232,86.64909055
233,84.59168555
234,85.46449092
235,85.77448066
236,85.07928992
237,86.29390736
238,86.40925437
239,86.21362734
240,86.59972387
241,84.5601668
242,86.41845772
243,84.78341466
244,84.22772473
245,85.7180417
246,86.45465014
247,85.74789282
248,85.27534298
249,85.46650759
250,85.38495665
251,84.08563657
252,84.0857866
253,85.05500815
254,85.03136343
255,85.04456385
256,85.57296585
257,84.85539341
258,85.63955242
259,84.77982514
260,86.50117726
261,84.77469916
262,87.23609688
263,84.97949478
264,84.46894834
265,83.86759791
266,83.08965107
267,83.548277
268,83.91243888
269,84.83630169
270,83.83078024
271,84.75033509
272,85.61212836
273,84.21564526
274,86.34642938
275,83.24636892
276,84.14246239
277,83.73515884
278,85.06898363
279,81.96546688
280,82.8185123
281,83.90948921
282,85.93069342
283,84.20549742
284,82.82421471
285,82.86042724
286,85.7229986
287,83.44456288
288,82.772972
289,85.32204494
290,84.79132217
291,85.07809392
292,82.76533755
293,82.1293402
294,83.96075694
295,83.91820676
296,84.0809035
297,85.20904544
298,81.8475247
299,84.15989037
300,82.32719672
301,84.34111824
302,82.91202569
303,82.53363106
304,82.52939337
305,81.81768397
306,83.28799605
307,82.28620099
308,84.01214437
309,83.75916894
310,84.80424626
311,83.45856271
312,83.6501023
313,84.35240228
314,82.36820236
315,81.4423471
316,83.10359987
317,81.38358251
318,85.49505211
319,84.1481567
320,84.97645941
321,82.7233035
322,83.61197373
323,81.99492948
324,83.47721913
325,81.26143791
326,80.20241376
327,81.71383194
328,81.15228374
329,84.03084508
330,84.01626985
331,80.97701218
332,83.6273148
333,83.22353198
334,80.72359425
335,81.92612785
336,81.64351445
337,82.72518896
338,80.92123369
339,81.99404314
340,81.3763699
341,82.4475335
342,81.7474309
343,81.45372232
344,81.81945283
345,83.87514897
346,81.60979737
347,80.84465484
348,82.43434089
349,81.65294827
350,80.35704457
351,83.93011569
352,81.26799314
353,81.05570734
354,81.78636965
355,83.29285924
356,79.72126424
357,81.62345977
358,83.68493525
359,81.51107065
360,80.136973
361,80.76776653
362,81.42525536
363,82.64621226
364,80.95224714
365,82.06904452
366,79.74062306
367,79.9115845
368,80.77033573
369,82.39804418
370,81.1938306
371,81.45767371
372,81.5364494
373,82.10220969
374,80.51726473
375,81.39680012
376,79.96138677
377,82.90734271
378,79.82698872
379,79.79890494
380,81.36534098
381,81.12235994
382,80.82204037
383,81.09696582
384,79.62562464
385,82.03105742
386,81.22170754
387,81.70928595
388,79.92803997
389,80.78763929
390,80.48909868
391,81.37462233
392,81.50327144
393,80.46296709
394,78.81291528
395,82.03767858
396,80.87804168
397,79.73487195
398,80.54869158
399,78.68250712
400,81.31231749
401,78.50140642
402,79.7109064
403,80.12406805
404,81.19409435
405,80.15778676
406,80.42404242
407,79.93939993
408,79.8649202
409,79.87029569
410,79.67731417
411,77.98836217
412,78.99625756
413,80.02498417
414,79.35945311
415,79.65480517
416,79.26330312
417,78.63914971
418,78.92818277
419,79.18008663
420,79.3342913
421,79.84481275
422,79.17154747
423,78.21320433
424,77.8954631
425,81.89293202
426,78.03788196
427,78.68154488
428,79.75621645
429,79.69633495
430,79.50975057
431,78.73227932
432,79.35257515
433,79.19951264
434,78.54848672
435,79.27778694
436,79.7840493
437,78.9377407
438,78.85607141
439,79.93600631
440,79.5267697
441,80.36322341
442,76.9047821
443,79.54111354
444,79.16148261
445,77.76689791
446,78.77073248
447,79.59939152
448,77.67898699
449,78.88158786
450,79.0964623
451,77.33704047
452,78.31810539
453,78.68750602
454,77.29044843
455,77.42419305
456,77.87417674
457,78.89938276
458,78.87853206
459,77.24515585
460,78.5399532
461,77.33782192
462,76.49405258
463,77.66084921
464,79.26661373
465,78.66404467
466,78.0387228
467,77.48112862
468,77.54664397
469,77.89170784
470,76.91594352
471,77.35321167
472,77.36768498
473,76.48891881
474,76.82293246
475,77.95445716
476,77.74659362
477,77.09340852
478,76.57624177
479,79.1034923
480,76.68445362
481,77.68318502
482,76.90564308
483,77.30500754
484,77.91512494
485,75.87833512
486,77.42483034
487,78.36528914
488,78.98119693
489,77.12991617
490,77.081861
491,79.206118
492,78.17087115
493,76.4913638
494,76.356362
495,77.76923519
496,75.85344829
497,77.76591034
498,77.20854699
499,77.29221584
500,76.59187083
501,76.09527142
502,78.24316615
503,76.44417753
504,76.08580992
505,76.68373168
506,76.85398498
507,75.64971391
508,75.87618004
509,75.97173249
510,77.51966267
511,75.45845677
512,74.43214177
513,74.41142393
514,74.76836893
515,77.67463135
516,76.31238021
517,76.67766423
518,76.76620869
519,76.15465445
520,76.08308814
521,77.15891637
522,76.09865659
523,77.41581755
524,76.70318274
525,75.2693287
526,75.61548751
527,75.13967089
528,77.17266075
529,75.28060964
530,74.9005203
531,76.14095279
532,75.61982014
533,75.83858903
534,77.56146343
535,76.51512903
536,75.84324354
537,74.34722292
538,75.01927248
539,76.27406827
540,74.29133584
541,77.62493928
542,75.36583314
543,75.4401999
544,74.63525396
545,75.79652065
546,74.32944395
547,77.53826693
548,76.60177337
549,76.26898635
550,73.76225516
551,75.16271754
552,76.23406171
553,75.6701248
554,73.85385869
555,74.38696634
556,74.62515092
557,74.45826661
558,76.45578099
559,72.94569103
560,75.55508434
561,73.47212997
562,73.8455208
563,72.70073364
564,73.98616163
565,76.12726379
566,75.07247454
567,73.7516211
568,75.5758047
569,75.96122222
570,74.72205805
571,76.62446511
572,75.47291546
573,75.04910361
574,73.56503796
575,75.07890306
576,74.78228322
577,74.80334142
578,73.61008078
579,74.45157157
580,73.35514327
581,72.01442156
582,75.0776858
583,72.65534145
584,74.33885869
585,74.23880816
586,74.37462912
587,73.63317887
588,74.32243197
589,74.48045372
590,74.67066006
591,75.62893164
592,73.87418113
593,73.95432583
594,72.94513648
595,73.96334039
596,74.34799564
597,73.50159169
598,73.99546784
599,73.38821184
600,74.12057421
601,74.40417878
602,74.48271405
